item_id,item_name,subsystem,role,mode,status,current_or_forecast,vendor_or_source,part_number_or_spec,quantity,warm_side_anchor,cold_side_anchor,intermediate_thermal_intercepts,mechanical_attachment,thermal_path,vibration_path,contamination_path,required_validation,gate_dependency,failure_consequence,can_support_PASS_now,notes
B001,Dilution refrigerator (Oxford Triton 200),Cryogenic platform,Base cooling to 10 mK,ALL,DESIGN_SPECIFIED,forecast,Oxford Instruments,Triton 200,1,Building floor (vibration-isolated slab),Mixing chamber flange,"50K,4K,1K,100mK stages",Bolted to building slab,Mixing chamber to slab via frame,Pulse-tube + cryocooler vibration to frame,Closed refrigeration loop,Step-response under QTA thermal load; vibration PSD at MC,"D3,D4",T_sample exceeds budget if load too high,NO,"T_fridge=10mK [MANUFACTURER_SPEC TARGET]; cryostat not physically installed; entry is a vendor-spec target for a future installation, not a current hardware state."
B002,Mixing chamber sample stage,Cryogenic platform,Mount diamond sample at MC node,D,DESIGN_SPECIFIED,forecast,TBD (custom machined),TBD,1,MC flange (10 mK),Ag sinter interface (10 mK),None within stage (isothermal),Bolted to MC flange via anchor interface,Conduction through Ag sinter to MC,Stage to MC via bolted connection,Open to chamber vacuum,Fabricate; thermal-contact test; alignment verification,"D4,D5",Sample node thermally decoupled; T_sample unmeasured,NO,Geometry and thermal contact to Ag sinter not designed in detail
B003,Mixing-chamber anchor interface,Cryogenic platform,Hard thermal anchor for sample bus to MC,D,DESIGN_SPECIFIED,forecast,TBD (custom OFHC Cu),TBD,1,MC flange,Sample-stage mounting plate,None (direct MC connection),Bolted/clamped to MC flange,OFHC Cu direct conduction to MC,Through bolted joint,None,Fabricate; contact-resistance measurement; gold-plate mating faces,D5,Interface resistance degrades G_eff,NO,OFHC Cu; gold-plated contact faces [DESIGN_SPECIFIED]
B004,Sample-stage mounting plate,Cryogenic platform,Rigid reference plane for diamond mount and suspension,D,DESIGN_SPECIFIED,forecast,TBD (OFHC Cu or Al),TBD,1,Anchor interface (10 mK),Diamond sample mount,None (isothermal plate),Bolted to anchor interface,Conduction through anchor interface,Stiff plate; vibration transfer from frame,Open to chamber vacuum,Fabricate; alignment check after cooldown,"D4,D5",Sample alignment drift; thermal contact loss,NO,[DESIGN_SPECIFIED]; alignment drift under differential thermal contraction unknown
B005,Kevlar 49 tension suspension (4 fibers),Support architecture,Mechanical support with thermal isolation,ALL,DESIGN_SPECIFIED,forecast,TBD (Kevlar 49 fiber supplier),ASTM D7269 or equivalent,4 fibers + terminations,4K thermal intercept clamp,10mK sample-stage plate,"4K,1K,100mK,10mK intercept clamps",Epoxy or mechanical crimp terminations,Fiber conduction (κ≈5e-4 W/m/K at 10mK [INDIRECT]),Fiber vibration transmission,Open to chamber; no gas contamination,Fabricate; thermal conductance via step-response; tension test; cooldown cycle,"D3,E06",Heat load exceeds budget; mechanical failure,NO,COMMITTED support. P_support≈0.167 nW [ASSUMED].
B006,Kevlar end clamps / termination hardware,Support architecture,Secure fiber ends; transmit tension load,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,8 (2 per fiber),4K plate or anchor block,10mK mounting plate,Through fiber,Crimped or epoxied to fiber; bolted to plates,Conduction through clamp body to intercept,Clamp stiffness couples vibration,None,Slip test at cryogenic T; torque retention after 10 thermal cycles,"D3,E06",Fiber slips → support load drops; sample falls,NO,Kevlar clamp slip after cooldown [UNKNOWN]. Differential thermal contraction risk.
B007,Kevlar anchor blocks (gold-plated OFHC Cu),Support architecture,Low-resistance thermal interface at each intercept,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,4 (one per intercept stage),Warm intercept plate,Cold intercept plate,"Staged (4K,1K,100mK,10mK)",Bolted to intercept clamp; gold-plated contact,OFHC Cu conduction between stages,Rigid; transmits vibration from fiber,None,Conductance measurement via step-response after fabrication,"D3,E06",Excess contact resistance → intercept fails,NO,Gold-plated to minimize contact resistance [DESIGN_SPECIFIED]
B008,G-10CR fiberglass flexures,Support architecture,Lateral compliance; vibration decoupling,ALL,DESIGN_SPECIFIED,forecast,TBD,G-10CR per NEMA LI-1 or equivalent,TBD,Warm lateral anchor,Cold lateral attachment,G-10CR fiberglass (κ~0.1 W/m/K room T; lower at mK),Bonded/bolted to frame + sample stage,Fiberglass conduction (INDIRECT estimate),Flexure mode transmits lateral vibration,None,Fabricate; stiffness measurement; thermal conductance; cooldown cycle,"D3,E06",Lateral shift; excess heat load,NO,G-10CR cryogenic properties [INDIRECT; not measured for this geometry]
B009,G-10CR flexure mounts,Support architecture,Attach flexures to frame and sample stage,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Frame (warm side),Sample stage (cold side),Through G-10CR body,Bolted or adhesive bonded,Through mount body,Through mount,None,Attachment stability check after 10 cooldown cycles,"D3,E06",Mount loosening,NO,[DESIGN_SPECIFIED]; G-10CR attachment stability after differential thermal contraction UNKNOWN
B010,OFHC Cu thermal intercept clamps (4 stages),Support architecture,Staged thermal interception at 4K/1K/100mK/10mK,ALL,DESIGN_SPECIFIED,forecast,TBD (custom OFHC Cu),TBD,4 sets,Stage plate (warm side of intercept),Stage plate (cold side of intercept),Previous intercept stage,Clamped around Kevlar fiber; bolted to stage plate,OFHC Cu conduction from fiber to stage,Clamp stiffness,None,Contact-resistance measurement per stage; step-response,"D3,E06",Interception fails; excess heat load bypasses stages,NO,OFHC Cu; contact resistance unknown until measured [DESIGN_SPECIFIED]
B011,4K thermal anchor (intercept clamp),Support architecture,First thermal intercept at 4K,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,4K plate,1K anchor,4K plate,Bolted to 4K plate,OFHC Cu conduction,Via clamp body,None,Contact-resistance test; step-response,D3,Intercept fails,NO,[DESIGN_SPECIFIED]
B012,1K thermal anchor,Support architecture,Second thermal intercept at 1K,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,1K plate,100mK anchor,1K plate,Bolted to 1K plate,OFHC Cu,Via clamp body,None,Contact-resistance test,D3,Intercept fails,NO,[DESIGN_SPECIFIED]
B013,100mK thermal anchor,Support architecture,Third thermal intercept at 100mK,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,100mK plate,10mK anchor,100mK plate,Bolted,OFHC Cu,Via clamp body,None,Contact-resistance test,D3,Intercept fails,NO,[DESIGN_SPECIFIED]
B014,10mK / MC thermal anchor,Support architecture,Final intercept at mixing chamber (10mK),ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,MC flange,Sample stage,MC flange,Bolted to MC flange,OFHC Cu direct to MC,Via clamp,None,Contact-resistance test; step-response,"D3,D5",G_eff degraded,NO,[DESIGN_SPECIFIED]
B015,Ag sinter thermal interface (45 cm²),Thermal interface,G_eff between sample stage and MC,D,DESIGN_SPECIFIED,forecast,TBD (sintered Ag powder on diamond substrate),TBD,1,MC flange,Diamond sample mount,Direct MC connection (10mK),Bonded to diamond substrate and MC stage,Ag sinter conduction (α_K×A×T³ [ASSUMED]),Rigid bond; vibration conducted,None,Fabricate; step-response thermometry to verify G_eff,"D5,E05",G_eff below requirement → T_sample budget exceeded,NO,G_eff=1e-5 W/K [ASSUMED]; α_K=2000 W/m²/K⁴ [INDIRECT]. NOT fabricated.
B016,Ag sinter fabrication tooling,Thermal interface,Tooling to sinter Ag onto diamond substrate,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1 set,N/A (bench process),N/A,N/A,N/A,N/A,N/A,N/A,Develop sintering protocol; verify contact quality by SEM/EDX,"D5,E05",Sinter quality insufficient; G_eff below requirement,NO,[DESIGN_SPECIFIED]
B017,UHV bakeout system (250°C/48h),Vacuum system,H2 suppression by thermal desorption,B,NOT_INSTALLED,forecast,TBD,250°C-capable heater + temp controller,1,External heater controller,Chamber walls,N/A,External wrap or internal heater,Resistive heating of chamber walls,N/A,N/A,Execute bakeout; log temp and duration,"D10a,E01",H2 coverage remains above threshold → D10a BLOCKED,NO,NOT EXECUTED. theta_H2=0.32% pre-bakeout (above 0.1% limit). BLOCKING.; NOT_INSTALLED -> current_or_forecast set to forecast
B018,SAES St707 NEG pump,Vacuum system,H2/CO getter post-bakeout,B,DESIGN_SPECIFIED,forecast,SAES Getters,St707 or equivalent,1,Chamber flange (warm),Interior chamber (cold during operation),N/A,Flanged to chamber,Getter pumping (chemisorption),N/A,None,Install; activate at manufacturer protocol; RGA verify pumping,"D10a,E02",H2 suppression inadequate post-bakeout,NO,NOT INSTALLED
B019,77K charcoal cryotrap,Vacuum system,"Cryopumping of condensable gases (H2O, CO, hydrocarbons)",B,DESIGN_SPECIFIED,forecast,TBD,Charcoal/zeolite at 77K,1,LN2 reservoir (77K),Interior chamber,77K shell,Flanged to chamber,LN2 conduction to charcoal,N/A,None (cryopumps condensables),Install; verify cryo-pumping performance by RGA,"B2,E03",H2/CO uncontrolled,NO,NOT INSTALLED
B020,RGA (residual gas analyzer),Vacuum diagnostics,All-species pressure verification (FC-corrected),B,NOT_INSTALLED,forecast,"TBD (Pfeiffer QMS 200, MKS, or equivalent)",QMS 200 type,1,Room T (external electronics),Sampling path in chamber,N/A,Flanged to chamber via sampling tube,Through gas column,N/A,Gas sampling,Install; calibrate FC correction; all-species scan,"B3,D2,E04",Species-resolved pressure unknown → D10a/B3/D2 blocked,NO,FC correction factor ~100x for sensing-surface geometry. NOT INSTALLED.; NOT_INSTALLED -> current_or_forecast set to forecast
B021,RGA sampling path,Vacuum diagnostics,Gas transport from sensing volume to RGA,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,RGA flange (room T),Sensing volume (4K),N/A,Small-bore tube conductance-limited,Through tube (molecular flow),N/A,Gas,Design sampling geometry; verify conductance,B3,Biased pressure reading,NO,Tube conductance affects FC correction value
B022,QCM (5 MHz AT-cut crystal),Diagnostics,Coverage proxy: He-3 and CH4 dose monitoring,B/D,DESIGN_SPECIFIED,forecast,"TBD (Inficon, Maxtek, or equivalent)",AT-cut 5 MHz quartz,1,Room-T electronics (external),Adjacent to sample (cryogenic),"4K,1K,100mK,10mK if needed",Mounted on chamber wall near sample,Through wiring to external oscillator,Mechanical coupling to chamber,Open to chamber,Install near sample; cryo-noise-floor test; calibration vs known coverage,"B5,D11",Coverage inference unavailable or unreliable,NO,He-3 shift ≈0.09 Hz requires sub-0.1 Hz stability [UNVERIFIED]
B023,QCM mount,Diagnostics,Mechanical reference for QCM crystal,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Chamber wall (4K or warmer),QCM crystal,TBD,Bolted to chamber wall,Through mount body,Chamber wall vibration,Open,Design; install; verify thermal contact and vibration decoupling,"B5,D11",QCM drifts from vibration or thermal artifact,NO,[DESIGN_SPECIFIED]
B024,QCM wiring anchors,Diagnostics,Thermalize QCM signal wiring to prevent heat leak,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Room-T feedthrough,QCM crystal,Each cryogenic stage crossed,Clamped to each stage plate,Wire conduction (ASSUMED),Through wire,None,Install; measure wire heat load by step-response,"B5,D3",Wire heat load uncontrolled,NO,[DESIGN_SPECIFIED]; wire thermal anchoring effectiveness unknown
B025,PMB (pulsed molecular beam doser),Helium dosing,Controlled isotope dose pulses,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Room-T gas line,Line-of-sight to sample (cryogenic),N/A,Mounted on chamber flange,Through gas line,N/A,He-3 gas path,Install; calibrate flux vs pressure; verify dose timing,"D11,E08",Dose unknown → coverage uncontrolled,NO,NOT INSTALLED
B026,PMB mechanical mount,Helium dosing,Mount PMB on chamber with line-of-sight,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Chamber flange,Sample line-of-sight,N/A,Flanged to chamber,Through mount,Chamber vibration,Gas path,Install; verify line-of-sight geometry; thermal load from mount,D11,Misaligned dose → coverage inhomogeneous,NO,PMB line-of-sight alignment [DESIGN_SPECIFIED; not verified]
B027,Shuttered cryo-baffle,Helium dosing,Shutter control of He-3 line-of-sight to sample,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Baffle actuator (warm side),Shutter face (cryogenic),TBD,Mounted on chamber wall; actuated by TBD mechanism,Baffle body conduction,Rigid mount,None,Install; test shutter timing; measure thermal load to sample,"D11,E08",Dose uncontrolled; thermal load from baffle unknown,NO,Shutter timing and thermal load to sample [DESIGN_SPECIFIED; UNKNOWN]
B028,Cryo-baffle mount,Helium dosing,Mechanical support for cryo-baffle,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Chamber wall,Baffle body,TBD,Bolted to chamber wall,Through mount,Chamber,None,Install; verify geometry,D11,Baffle misaligned,NO,[DESIGN_SPECIFIED]
B029,Independent 3He sensing line,Gas delivery,Isolated He-3 dose for Mode D,D,DESIGN_SPECIFIED,forecast,TBD,SS VCR/CF; cryo-compatible valves,1,He-3 cylinder (room T),Sample chamber (4K section),"4K,1K intercepts via thermal anchors",Flanged to chamber; VCR fittings,SS tube conduction; anchored at each stage,Rigid SS tube transmits vibration,He-3 gas,Fabricate; leak-test; RGA-verify isolation; anchor at each cryogenic stage,"A4,D11,E07",He-3 contaminated or absent,NO,Must be isolated from CH4 line. IL-02 interlock required.
B030,Independent 4He reference line,Gas delivery,Isolated He-4 for isotope contrast,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,He-4 cylinder (room T),Sample chamber,"4K,1K intercepts",Flanged to chamber,SS tube conduction,Rigid SS tube,He-4 gas,Fabricate; leak-test; verify isolation,D13,No isotope reference,NO,[DESIGN_SPECIFIED]
B031,CH4/carbon precursor line,Gas delivery,LCVD precursor for Mode B,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,CH4 cylinder (room T),Mode B delivery zone,Warm side only; not cryo-anchored,Flanged; VCR fittings,CH4 tube conduction (room T),Rigid tube,CH4 gas,Fabricate; verify Mode B isolation from Mode D; leak-test,"A4,D2",Precursor contaminates sensing path,NO,IL-02 prevents concurrent opening with He-3 line
B032,Purge/inert gas line,Gas delivery,Mode C purge of chamber after LCVD,C,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Inert gas cylinder (room T),Chamber,Warm side,Flanged,Tube conduction,Rigid,Inert gas,Fabricate; test pumpout efficiency,B1,Incomplete purge,NO,[DESIGN_SPECIFIED]
B033,Pumpout/dump/recovery path,Gas delivery,Emergency gas dump; controlled pump-down,B/C,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Scroll/turbo pump (room T),Chamber,N/A,Flanged,Gas column to pump,Rigid,Pumped gas,Define and install; valve sequence test,B1,Gas trapped in chamber,NO,[DESIGN_SPECIFIED]
B034,Gas-line thermal anchors (per cryogenic line),Gas delivery,Thermalize gas lines at each cryogenic stage,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD per line,Warmer stage,Colder stage,Each cryogenic stage crossed,Clamped to each stage plate,Line conduction reduced by anchoring,Through line body,None,Install; measure heat load reduction,"D3,D4",Unanchored lines → excess heat load,NO,Gas-line thermal anchor effectiveness [DESIGN_SPECIFIED; UNKNOWN]
B035,Gas-line mechanical anchors,Gas delivery,Prevent gas-line vibration coupling to sample,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Chamber wall,Line body,N/A,Clamp/brace to chamber wall,Reduces vibration via clamp,N/A,None,Install; verify vibration isolation,D17,Line vibration couples to sample,NO,[DESIGN_SPECIFIED]
B036,Isolation valves (per line),Gas delivery,Mode-controlled gas isolation,ALL,DESIGN_SPECIFIED,forecast,"TBD (VAT, Swagelok, or equivalent)",Cryo-compatible shutoff,TBD per line,Room T (actuator),Line body,N/A,VCR/CF inline,Through valve body,Rigid mount,Through gas column,Install; test; integrate with interlock controller,ALL,Mode cross-contamination,NO,IL-02 interlock required for He-3/CH4 isolation
B037,Check valves or equivalent isolation hardware,Gas delivery,Prevent backstreaming between gas lines,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Upstream of sample,Downstream of sample,N/A,Inline in gas path,Through valve,Inline,Gas path,Install; verify backflow prevention,"D11,D2",Backstreaming contaminates sensing path,NO,[DESIGN_SPECIFIED]
B038,Pressure gauges (per line),Gas delivery,Line-specific pressure monitoring,ALL,DESIGN_SPECIFIED,forecast,"TBD (MKS Baratron, Leybold)",Range-appropriate for each line,TBD per line,Room-T electronics,Sensing volume,N/A,Flanged to line,Electronic readout,None,None,Install; calibrate,ALL,Pressure unmonitored,NO,[DESIGN_SPECIFIED]
B039,Helium isotope purity verification path,Gas delivery,RGA or mass-spec of He-3/He-4 supply,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Gas cylinder (room T),RGA sampling point,N/A,Teed off supply line,Through sampling tube,N/A,Gas sampling,Install; RGA or mass-spec both cylinders before use,D13,Isotope contamination dilutes contrast,NO,[DESIGN_SPECIFIED]
B040,"Femtosecond laser (LCVD/process, Mode B)",Optics (Mode B),LCVD process pulse source,B,DESIGN_SPECIFIED,forecast,"TBD (Coherent, Spectra-Physics, or equivalent)","100 fs, 1 MHz rep rate, 532 nm class",1,Optical bench (room T),Diamond surface (10mK via optical window),N/A (free-space delivery),Bolted to optical bench,Free-space through viewport,None (optical),None (photons only),Commission; measure eta_abs; verify fluence; thermal test at 10mK,"D6,D7",Thermal overload or surface damage,NO,eta_abs=0.05 [ASSUMED]; damage threshold [INDIRECT]. AOM CANNOT gate 100 fs pulses.
B041,LCVD process optics,Optics (Mode B),Beam shaping and delivery for LCVD,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1 set,Laser output (room T),Diamond surface (via viewport),N/A,Optical mounts on bench,Free-space beam,None,None,Commission; align; verify spot size and fluence at sample,"D6,D7",No LCVD delivery,NO,[DESIGN_SPECIFIED]
B042,NV readout laser (Mode D),Optics (Mode D),CW or pulsed 532 nm for ODMR/Ramsey,D,DESIGN_SPECIFIED,forecast,TBD,532 nm CW or pulsed,1,Laser bench (room T),NV layer (10mK via viewport),N/A,Bolted to bench,Free-space through viewport,None,None,Commission; calibrate power at sample; measure C_contr at 10mK,"D12,D13",No NV signal,NO,[DESIGN_SPECIFIED]
B043,Pockels cell or pulse picker,Optics,Ultrafast pulse gating (replaces AOM for fs pulses),B/D,DESIGN_SPECIFIED,forecast,"TBD (Leysop, Thorlabs EOM, or equivalent)",<1 ns switching,1,Optical bench (room T),N/A (inline),N/A,Optical mount inline,Through optical path,None,None,Install; test at required rep rate,D7,Pulse sequence uncontrolled,NO,AOM CANNOT gate 100 fs pulses (switching time incompatible). Pockels cell required.
B044,AOM (acousto-optic modulator),Optics,CW beam modulation only (NOT for fs pulse gating),D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Optical bench,N/A (inline),N/A,Optical mount,Through path,None,None,Verify CW-only use; document fs limitation,D7,AOM misused for fs gating → pulse energy uncontrolled,NO,AOM switching ~100ns CANNOT gate 100fs pulses. CW modulation only.
B045,Optical access / window / feedthrough mount,Optics,Laser access to cryogenic sample,A/D,DESIGN_SPECIFIED,forecast,TBD (AR-coated viewport or fiber feedthrough),TBD,1,Room-T flange,Cryogenic interior,"4K,1K (fiber feedthrough if used)",Bolted to cryostat flange,Photon transmission; viewport thermal load,None (photons only),None,Install; align; measure transmission and viewport heat load,"D6,D7,D14",Beam blocked; excess heat load from viewport radiation,NO,Viewport radiation heat load [DESIGN_SPECIFIED; not measured]
B046,Microwave source,Microwave,MW drive for NV spin manipulation,D,DESIGN_SPECIFIED,forecast,"TBD (Rohde & Schwarz, Keysight, or equivalent)",2.87 GHz class,1,Electronics rack (room T),N/A (external),N/A,Rack mount,Coax cable,None,None,Connect attenuation chain; calibrate,"D8,D15,D16",MW control impossible,NO,[DESIGN_SPECIFIED]
B047,CPW (coplanar waveguide),Microwave,Near-field MW delivery to NV,D,DESIGN_SPECIFIED,forecast,TBD (custom or commercial),"50 Ω, <3 µm linewidth near NV",1,Coax feed at 4K connector,CPW traces at 10mK sample,N/A,Bonded/soldered to sample stage,Coax + CPW traces to 10mK,Through CPW traces,None,Install; Rabi calibration in cryostat; measure P_mw at CPW,"D8,D15,E13",Rabi undefined; MW heating unknown,NO,P_mw at CPW=1 nW [ASSUMED]; not measured at base temperature
B048,CPW mount,Microwave,Support CPW on sample stage,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Sample stage plate,CPW substrate,N/A,Bonded/bolted to sample stage,Through mount body,Through mount,None,Fabricate; verify thermal contact of CPW substrate,D16,CPW thermally unanchored → heating,NO,[DESIGN_SPECIFIED]
B049,MW attenuators / filters,Microwave,Thermal noise suppression and attenuation,D,DESIGN_SPECIFIED,forecast,"TBD (XMA, Precision Cryogenics, or equivalent)",Attenuators at 4K/1K/100mK/10mK,TBD,4K stage,10mK stage,"4K,1K,100mK stages",Bolted to each stage plate,Conduction through attenuator body to stage,Through body,None,Install; verify attenuation and heat load at each stage,D16,MW heating from thermal noise; delivery power wrong,NO,[DESIGN_SPECIFIED]
B050,Microwave-line thermal anchors,Microwave,Thermalize MW coax to prevent heat leak,D,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Room-T feedthrough,10mK CPW,"4K,1K,100mK intercepts",Clamped to each stage plate,Coax outer conductor conduction to stage,Through coax,None,Install; measure heat load,"D3,D16",MW-line heat load uncontrolled,NO,MW-line thermal anchor effectiveness [DESIGN_SPECIFIED; UNKNOWN]
B051,Cryogenic wiring (DC + signal),Electrical,"DC bias, signal wiring, thermalized per stage",ALL,DESIGN_SPECIFIED,forecast,"TBD (Thermocoax, phosphor-bronze, manganin)",Thermocoax for MW; manganin for DC,TBD,Room-T feedthrough,10mK sensor/heater,"4K,1K,100mK intercepts",Clamped to each stage plate,Wire conduction (ASSUMED P_cond=2.46nW),Through wire,None,Install; measure heat load via step-response,"D3,D4",Thermal budget exceeded,NO,P_cond=2.46 nW [ASSUMED]
B052,Wire thermal anchors (per wiring bundle),Electrical,Clamp wiring to each cryogenic stage to reduce heat leak,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD (one per stage per bundle),Warmer stage plate,Colder stage plate,Each cryogenic stage,Clamp bonded/bolted to stage plate,Reduces wire conduction,None,None,Install; step-response to verify reduced heat load,D3,Wire heat load uncontrolled,NO,Wire thermal anchoring effectiveness [DESIGN_SPECIFIED; UNKNOWN]
B053,Thermal sensors (RuO2),Diagnostics,Sample temperature monitoring,ALL,DESIGN_SPECIFIED,forecast,"TBD (Lake Shore, Magnicon)",RuO2 or Cernox,TBD,External bridge electronics (room T),Sample stage (10mK),"4K,1K,100mK intercepts if multiple sensors",Bolted/epoxied to sample stage,Wire conduction to bridge (must be anchored),Through mount,None,Install; calibrate vs NIST-traceable standard; verify placement at true sample node,"D4,C3",T_sample monitoring unavailable; model unvalidated,NO,Temperature sensor mount must be at true sample thermal node [DESIGN_SPECIFIED]
B054,Temperature sensor mounts,Diagnostics,Locate sensors at true thermal node,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Sample stage (10mK),Sensor body,N/A,Epoxied or bolted to sample stage,Through mount to sensor,Through mount,None,Fabricate; verify sensor is at true thermal node (not frame),D4,"Sensor reads frame T, not sample T",NO,[DESIGN_SPECIFIED]
B055,Heater for step-response test,Diagnostics,Inject known power; measure G_eff,D,DESIGN_SPECIFIED,forecast,TBD,Small resistive heater at sample stage,1,External current source (room T),Sample stage (10mK),Each cryogenic stage (wire anchor),Bolted/epoxied to sample stage,Wire conduction; heater dissipation at 10mK,Through mount,None,Install; perform step-response,"D5,E05",G_eff unmeasurable,NO,[DESIGN_SPECIFIED]
B056,Heater mount,Diagnostics,Support heater at sample stage,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Sample stage,Heater body,N/A,Epoxied/bolted to sample stage,Through mount,Through mount,None,Fabricate,D5,Heater placement wrong,NO,[DESIGN_SPECIFIED]
B057,Vibration sensors,Diagnostics,PSD measurement at sample stage,ALL,DESIGN_SPECIFIED,forecast,"TBD (Wilcoxon, PCB Piezotronics)",IEPE accelerometer or geophone,TBD,Signal conditioning electronics (room T),Sample stage (cryogenic),"4K,1K (wire anchors)",Bolted to sample stage or chamber wall near stage,Wire conduction; sensor dissipation,Sensor stiffness,None,Install; measure PSD at sample position during operation,D17,S_vib unverified,NO,S_vib=1e-10 m²/Hz [MANUFACTURER_SPEC]; not measured at NV position
B058,Vibration sensor mounts,Diagnostics,Locate sensor at sample-stage PSD measurement point,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Chamber wall or stage,Sensor body,N/A,Bolted to measurement point,Through mount,Through mount,None,Install; verify sensor at correct location,D17,Sensor reads wrong vibration environment,NO,[DESIGN_SPECIFIED]
B059,Interlock controller,Control system,Hardware mode separation enforcement,ALL,NOT_INSTALLED,forecast,"TBD (PLC, custom logic controller)",Fail-safe; hardwired IL-01/IL-02,1,Control rack (room T),Valve actuators; laser shutters; MW gate (room T),N/A,Control rack; wired to all actuators,Electrical signaling,None,None,Install; test each interlock; verify mode transition,"A4,A5,D1,D2",Mode cross-contamination → thermal overload or contamination,NO,NOT INSTALLED. Mode separation currently architectural only.; NOT_INSTALLED -> current_or_forecast set to forecast
B060,Valve interlock wiring,Control system,Hardwired control of gas valves by IL-01/IL-02,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Interlock controller,Valve actuators,N/A,Wired to valve solenoids,Electrical,None,None,Install; test valve response to interlock signal,"D1,D2",Valve not controlled by interlock,NO,[DESIGN_SPECIFIED]
B061,Laser interlock wiring,Control system,Hardwired laser shutter control by IL-01,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Interlock controller,Laser shutter,N/A,Wired to shutter driver,Electrical,None,None,Install; test shutter response,D1,Laser on during wrong mode,NO,[DESIGN_SPECIFIED]
