item_id,item_name,subsystem,role,mode,status,current_or_forecast,vendor_or_source,part_number_or_spec,quantity,warm_side_anchor,cold_side_anchor,intermediate_thermal_intercepts,mechanical_attachment,thermal_path,vibration_path,contamination_path,required_validation,gate_dependency,failure_consequence,can_support_PASS_now,notes
B062,Microwave interlock wiring,Control system,Hardwired MW gate by IL-01,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Interlock controller,MW source gate,N/A,Wired to MW gate,Electrical,None,None,Install; test,D1,MW on during LCVD,NO,[DESIGN_SPECIFIED]
B063,NV diamond sample,Diamond,NV ensemble for sensing,D,DESIGN_SPECIFIED,forecast,"TBD (Element Six, Sumitomo, custom)",CVD diamond; <111> or <100>; shallow NV implant,1,N/A (sample),Sample mount (10mK),N/A,Mounted on sample-stage plate via thermal interface,Conduction through mounting interface,Sample-stage vibration,Open to chamber vacuum,Implant; anneal; SIMS/PL depth; Ramsey T2*; ODMR at 10mK; XPS surface,"D8,D12,D13,D14,E12,E14",No NV signal,NO,d_NV=10 nm [ASSUMED]; T2*=10 µs [ASSUMED]; C_contr at 10mK [UNKNOWN]
B064,Diamond sample mount,Diamond,Secure diamond to sample stage with good thermal contact,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,Sample stage plate (10mK),Diamond (10mK),N/A,Epoxy or indium bond; clamped,Through mount to sample stage,Through mount,None,Fabricate; verify thermal contact (no gap); alignment; step-response,"D4,D5",Diamond thermally decoupled from stage; T_sample undefined,NO,[DESIGN_SPECIFIED]
B065,Surface termination tooling,Diamond,F-termination of diamond surface,D,DESIGN_SPECIFIED,forecast,TBD (XeF2 system or plasma fluorination),XeF2 exposure chamber or CF4 plasma,1,Process chamber (room T),Diamond surface,N/A,Process tooling,N/A,N/A,F gas exposure,Perform termination; verify by XPS + AFM,"D11,D13",Surface sticking differs from model; tau_c undefined,NO,[DESIGN_SPECIFIED]
B066,XPS verification path,Diamond,Surface XPS characterization,D,DESIGN_SPECIFIED,forecast,TBD (university facility or commercial),TBD,1,N/A,N/A,N/A,External facility,Ex-situ measurement,N/A,Surface transport,Characterize termination post-treatment,"D11,D13",Termination state unknown,NO,[DESIGN_SPECIFIED]
B067,AFM verification path,Diamond,Surface AFM characterization,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,N/A,N/A,N/A,External facility,Ex-situ,N/A,Surface transport,AFM post-termination,D11,Surface roughness unknown,NO,[DESIGN_SPECIFIED]
B068,Raman verification path,Diamond,Surface and NV Raman characterization,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,N/A,N/A,N/A,TBD,Ex-situ or in-situ,N/A,None,Raman to confirm sp3 and NV presence,"D12,D13",NV quality unknown,NO,[DESIGN_SPECIFIED]
B069,Mode B process safety interlocks,Control system,Prevent unsafe LCVD conditions,B,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Interlock controller,Laser/valve actuators,N/A,Wired to interlock controller,Electrical,None,None,Install; define LCVD safety logic; test,"A4,A5",LCVD unsafe condition undetected,NO,[DESIGN_SPECIFIED]
B070,Mode D sensing interlocks,Control system,Prevent LCVD during sensing,D,DESIGN_SPECIFIED,forecast,TBD,TBD,TBD,Interlock controller,Laser/MW/valve actuators,N/A,Wired to interlock controller,Electrical,None,None,Install; test IL-01 and IL-02,"D1,D2",LCVD during sensing → Mode D invalid,NO,[DESIGN_SPECIFIED]
B081,Lake Shore 372-class AC resistance bridge / mK temperature controller,Diagnostics / thermometry,Read calibrated mK thermometers and support controlled heater/step-response tests.,ALL,DESIGN_SPECIFIED,forecast,Lake Shore (target),372 AC bridge class,1,TBD,TBD,,TBD,Bridge body at room T; sensors on cryostat stages,,,Verify sample-stage thermal recovery after Mode B and readiness for Mode D.,thermal_recovery; C_to_D_mode_transition_readiness; NV_baseline_recovery_after_Mode_B,Validation gate cannot be evaluated without this hardware,NO,Vendor target only; not selected/installed/validated
B082,Multi-sensor thermometry set: RuO2/RuOx + Cernox + calibrated heater,Diagnostics / thermometry,"Separate true sample temperature, stage temperature, intercept temperature, and transient recovery.",ALL,DESIGN_SPECIFIED,forecast,Lake Shore / equivalent,RuO2/RuOx + Cernox,1,TBD,TBD,,TBD,Per-sensor thermal anchoring at each stage,,,"Step-response thermometry, calibration, sensor self-heating check, cooldown stability log.",thermal_recovery; sample_temperature_validation; C_to_D_mode_transition_readiness,Validation gate cannot be evaluated without this hardware,NO,RuO2/RuOx for mK; Cernox for 4K-100mK range
B083,Sample-stage calibrated heater / thermal step-response actuator,Diagnostics / thermal validation,"Inject known heat loads to validate G_eff, recovery constants, and Mode-D readiness criteria.",A/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Heater on sample stage with calibrated resistance,,,Measured thermal impulse response and recovery to Mode-D baseline.,G_eff_validation; thermal_recovery; D_readiness,Validation gate cannot be evaluated without this hardware,NO,Used to measure G_eff and thermal recovery time constant
B084,Multi-stage low-pass quantum filter bank for DC/control lines,Electrical / filtering,Reject electrical noise on signal/control lines and thermalize wiring near cryogenic stages.,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Filter bodies thermally anchored to 4K and 100mK,,,"Measure line noise, thermalization, leakage, and heat load into Mode D.",rf_microwave_leakage_into_10mK; microwave_blackbody_leakage; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,Quantum-filter class (RC + RLC + powder)
B085,Cryogenic IR filters on coax/microwave lines,RF / microwave shielding,Suppress high-energy photon leakage down coaxial/microwave lines into the mK region.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Filter body anchored at 4K and 100mK stages,,,Microwave/IR leakage measurement into 10 mK stage.,microwave_blackbody_leakage; rf_microwave_leakage_into_10mK,Validation gate cannot be evaluated without this hardware,NO,Eccosorb/microwave-IR absorbing filter class
B086,Thermocoax / lossy cryogenic coax wiring option,RF / microwave wiring,Add lossy high-frequency filtering and controlled thermal anchoring on microwave/readout lines.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Lossy coax thermally anchored per stage,,,"Heat-load measurement, attenuation profile, and RF leakage test.",rf_microwave_leakage_into_10mK; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,Thermocoax-class lossy lines
B087,Cryogenic microwave attenuator stack at staged temperatures,RF / microwave wiring,Thermalize and attenuate microwave lines at 4 K / 1 K / 100 mK / 10 mK stages.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Attenuator at each cryogenic stage,,,"Stage-by-stage attenuation, thermal anchoring, and noise-temperature measurement.",microwave_blackbody_leakage; rf_microwave_leakage_into_10mK; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,Typical 20dB+20dB+10dB+10dB at 4K/1K/100mK/10mK
B088,Microwave blackbody leakage test load / calibrated termination,RF / leakage validation,Provide a controlled test path for blackbody/microwave leakage into the sensing region.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Calibrated injection/leakage test with thermometer or detector response.,microwave_blackbody_leakage,Validation gate cannot be evaluated without this hardware,NO,"Used during commissioning leakage tests, not during sensing"
B089,RF leakage injection/test antenna pair,RF / leakage validation,Inject known RF fields outside shielding and measure leakage inside the 10 mK sample region.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Shielding attenuation map and Mode-D noise response.,rf_microwave_leakage_into_10mK; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,Validation hardware; removed for sensing operation
B090,RF-tight 10 mK sample can / Faraday enclosure,Shielding / sample enclosure,Electrically isolate the sample/NV region during sensing.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Anchored to mixing chamber flange,,,RF leakage test with calibrated source outside can and detector/thermometry inside.,rf_microwave_leakage_into_10mK; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,RF-tight machined enclosure with filtered feedthroughs
B091,Cryogenic magnetic shield: Cryoperm/equivalent,Magnetic shielding,Reduce external magnetic-field noise while preserving NV bias-field compatibility.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Anchored to 4K stage,,,"Field-noise PSD measurement, NV ODMR linewidth check, bias-field distortion map.",magnetic_noise; NV_ODMR_baseline; D_sensing_noise,Validation gate cannot be evaluated without this hardware,NO,Mu-metal/Cryoperm class; check trapped flux on cooldown
B092,NV-compatible bias magnet / vector coil package,Magnetic control,Provide controlled NV bias field for ODMR and helium-isotope sensing tests.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Coil heat load anchored to cold stage,,,"ODMR splitting, field stability, field-gradient map at sample, thermal load validation.",NV_ODMR_baseline; D_sensing_readiness,Validation gate cannot be evaluated without this hardware,NO,Vector coils for axis alignment
B093,Magnetic-field probe / Hall or fluxgate witness instrumentation,Magnetic diagnostics,"Measure cooldown field drift, shield performance, and bias-field repeatability.",A/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Field map before/after cooldown and during Mode-D readiness.,magnetic_noise; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,Witness instrument; not always present during sensing
B094,"UHV optical viewport with protective shutter, fused silica or sapphire",Optics / vacuum boundary,Provide optical access while preventing process deposition from coating the viewport.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Bakeout compatibility, optical transmission, shutter lifetime, contamination check.",optical_line_of_sight; dirty_clean_shutter_cross_contamination,Validation gate cannot be evaluated without this hardware,NO,Sapphire preferred for IR/bakeout robustness
B095,Cryogenic-compatible high-NA objective / cold objective mount,Optics / NV readout,Improve NV fluorescence collection and focus stability at cryogenic temperature.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Objective body anchored to cold stage,,,"Cooldown focus shift, PL collection efficiency, thermal load, vibration coupling.",NV_ODMR_baseline; D_sensing_readiness,Validation gate cannot be evaluated without this hardware,NO,Cryo-compatible objective class
B096,Cold optical aperture stack,Optical shielding,Remove room-temperature line of sight and reduce stray optical/radiative loading.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Multi-stage cold apertures at 50K/4K/100mK,,,"Stray-light map, thermal-load measurement, shutter-open/closed comparison.",radiation_load_into_10mK_stage; optical_line_of_sight,Validation gate cannot be evaluated without this hardware,NO,Apertures sized for required NV/optics paths
B097,Thermally anchored cold beam dumps,Optical shielding,Absorb rejected/scattered process and sensing light at higher-capacity cryogenic stages.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Dumps anchored to 4K or 1K stage,,,Absorbed-power thermal response and scatter reduction measurement.,radiation_load_into_10mK_stage; optical_scatter,Validation gate cannot be evaluated without this hardware,NO,"Process pulses dumped at high-capacity stage, not 10mK"
B098,Optical power monitor before chamber,Optical diagnostics,Measure delivered Mode-B pulse train and Mode-D readout power before entering the cryostat.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Power log, pulse-energy log, interlock threshold verification.",B_process_heat; D_optical_load,Validation gate cannot be evaluated without this hardware,NO,Room-temperature monitor; logs feed interlock
B099,Optical power monitor after cold aperture/shutter,Optical diagnostics,Verify optical extinction and leakage after shutters/apertures.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Shutter extinction, rejected-light leakage, cold-stage heating comparison.",optical_line_of_sight; radiation_load_into_10mK_stage,Validation gate cannot be evaluated without this hardware,NO,Monitor placement may be at intermediate cold stage
B100,Cold-stage optical scatter witness photodiodes,Optical diagnostics,Detect scattered optical power reaching protected cryogenic zones.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Witness photodiode at cold stages,,,Scatter map during Mode B and Mode D optical operation.,optical_scatter; radiation_load_into_10mK_stage,Validation gate cannot be evaluated without this hardware,NO,Witness hardware; minimal heat budget
B101,"Industrial femtosecond laser, 1030/1035/1040 nm class, vendor-spec target",Mode B process laser,Provide candidate femtosecond pulse source for material-processing/LCVD experiments.,B,MANUFACTURER_SPEC_TARGET,forecast,TBD (Spectra-Physics / Amplitude / Coherent class),"1030-1040nm fs laser, MANUFACTURER_SPEC_TARGET",1,TBD,TBD,,TBD,,,,"Pulse energy, repetition rate, beam quality, average power, thermal deposition test.",B_process_heat; B_laser_control,Validation gate cannot be evaluated without this hardware,NO,Vendor-spec target only; not selected/installed/validated
B102,Frequency-conversion path if green excitation/process wavelength is required,Mode B/D optics,Convert femtosecond source wavelength if process or NV optical path requires green output.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Conversion efficiency, pulse distortion, optical leakage, thermal load.",B_process_heat; D_optical_load,Validation gate cannot be evaluated without this hardware,NO,Optional; depends on chosen LCVD chemistry / NV excitation scheme
B103,Electro-optic pulse picker / Pockels-cell gate for Mode B,Mode B optics,Gate femtosecond pulse delivery during material processing and enforce B/D exclusion.,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Pulse extinction, timing jitter, pulse-energy monitor, interlock response.",B_process_interlock; B_D_exclusion; D_sensing_protection,Validation gate cannot be evaluated without this hardware,NO,Hardware-enforced extinction during Mode D
B104,Fast photodiode pulse monitor,Mode B diagnostics,"Measure actual Mode-B pulse timing, pulse leakage, and shutter extinction.",B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Pulse timing log and rejected-pulse leakage measurement.,B_laser_control; B_D_exclusion,Validation gate cannot be evaluated without this hardware,NO,Independent monitor for interlock verification
B105,Pulse-energy meter,Mode B diagnostics,Measure pulse energy and average deposited optical power for the thermal model.,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Pulse-energy calibration and thermal deposition estimate.,B_process_heat; thermal_recovery,Validation gate cannot be evaluated without this hardware,NO,Used during pulse-train calibration
B106,Beam dump rated for rejected femtosecond pulses,Mode B optical safety / thermal isolation,Safely absorb rejected process pulses outside the sensing path.,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Rejected-pulse heating measurement and scatter test.,B_process_interlock; optical_scatter,Validation gate cannot be evaluated without this hardware,NO,High-power fs-rated dump
B107,Hard interlock between pulse picker and Mode D sensing,Interlocks,Prevent Mode-B pulse train from being enabled during Mode-D sensing.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Fail-safe interlock test, shutter/pulse-picker state log, simulated fault injection.",B_D_exclusion; D_sensing_protection,Validation gate cannot be evaluated without this hardware,NO,Hard interlock; mutually exclusive Mode B / Mode D
B108,UHP/VCR gas fittings + welded high-purity line hardware,Gas delivery,Improve compatibility with high-purity and UHV-style gas delivery.,B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Helium leak check, bakeout, RGA before/after dosing, cross-contamination test.",residual_gas; dirty_clean_line_isolation; helium_purity,Validation gate cannot be evaluated without this hardware,NO,VCR/welded fittings throughout
B109,UHP diaphragm valves for isotope and precursor isolation,Gas delivery / isolation,"Provide clean isolation of precursor, purge, and helium isotope lines.",B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Valve leak rate, bakeout survival, RGA cross-contamination test.",dirty_clean_line_isolation; residual_gas; helium_purity,Validation gate cannot be evaluated without this hardware,NO,All-metal diaphragm valves
B110,Dedicated point-of-use gas purifier for He/precursor lines,Gas purity,"Reduce moisture, oxygen, CO, CO2, hydrocarbons, and particles before gas enters chamber.",B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,RGA purity before/after purifier and purifier saturation tracking.,residual_gas; helium_isotope_purity; contamination_control,Validation gate cannot be evaluated without this hardware,NO,Point-of-use purifier; track saturation
B111,Baratron-style capacitance manometers,Gas delivery diagnostics,Provide gas-independent pressure measurement for dosing and purge/recovery validation.,B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Gauge calibration, pressure transient logs, mode-transition acceptance test.",dosing_control; C_recovery; D_readiness,Validation gate cannot be evaluated without this hardware,NO,Capacitance manometer; gas-independent reading
B112,RGA upgrade: isotope/purity verification and residual-process-gas tracking,Vacuum diagnostics,"Track H2, H2O, hydrocarbons, precursor fragments, He, and purge recovery.",B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Baseline spectrum, after-Mode-B spectrum, after-Mode-C spectrum, Mode-D readiness spectrum.",residual_gas; C_to_D_mode_transition_readiness; helium_purity,Validation gate cannot be evaluated without this hardware,NO,High-resolution RGA with isotope discrimination capability
B113,Helium leak detector,Vacuum QA,"Verify chamber, gas lines, viewports, feedthroughs, and valves before claiming UHV isolation.",ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Leak-rate acceptance test before cooldown and after thermal cycling.,vacuum_integrity; residual_gas,Validation gate cannot be evaluated without this hardware,NO,Acceptance test before cooldown
B114,Dedicated isotope purity verification port,Gas diagnostics,Provide a measurement path for verifying He-3/He-4 purity and contamination state.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Isotope purity check and residual-gas comparison before/after dosing.,helium_isotope_purity; D_sensing_readiness,Validation gate cannot be evaluated without this hardware,NO,Diagnostic port for isotope-purity verification
B115,Bakeout thermocouple array,Vacuum / bakeout diagnostics,Verify thermal uniformity and exposure during chamber/line bakeout.,C,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Bakeout temperature log and RGA recovery curve.,residual_gas; contamination_control,Validation gate cannot be evaluated without this hardware,NO,Distributed thermocouples on chamber + gas lines
B116,Passive vibration damping frame,Mechanical isolation,"Reduce building/floor vibration coupling into cryostat, optics, and sensing hardware.",ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,Passive damping at frame base,,Vibration PSD before/after isolation.,D_sensing_noise; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,Passive isolation platform
B117,Active vibration damping option,Mechanical isolation,Provide active suppression for vibration-sensitive Mode-D measurements.,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,Active feedback at frame,,"Vibration PSD at frame, MC, and sample stage before/after active isolation.",D_sensing_noise; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,Optional; selected if passive isolation is insufficient
B118,Pulse-tube vibration decoupling interface,Mechanical isolation,Reduce pulse-tube mechanical coupling into the dilution refrigerator and sample stage.,ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,Flex coupling between pulse-tube and DR,,Pulse-tube on/off vibration transfer function and Mode-D noise correlation.,D_sensing_noise; thermal_recovery,Validation gate cannot be evaluated without this hardware,NO,Critical for low-noise Mode-D
B119,Accelerometer/geophone sensor package,Vibration diagnostics,"Measure vibration at frame, 4 K, mixing chamber, and sample stage.",ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Vibration PSD acceptance test and correlation to ODMR/thermal noise.,D_sensing_noise; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,Sensor package for vibration acceptance testing
B120,Cryogenic nanopositioner / alignment stage,Alignment,Recover optical/NV/microwave/dosing alignment after cooldown and thermal cycling.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Stage anchored to cold plate,,,"Cooldown drift map, repeatability, heat-load measurement, vibration coupling.",D_sensing_readiness; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,attocube/JPE class cryogenic positioner
B121,Cryogenic focus stage,Alignment / optics,Maintain or recover focus on the NV/diamond sensing region after thermal cycling.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,Focus stage anchored to cold plate,,,"Focus drift test, repeatability, thermal load, vibration coupling.",D_sensing_readiness; NV_ODMR_baseline,Validation gate cannot be evaluated without this hardware,NO,Cryogenic focus stage
B122,Cooldown alignment fiducials / Mode-D verification target,Alignment diagnostics,Provide visible/optical reference targets to quantify alignment drift across cooldown and mode cycling.,A/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Fiducial shift map and Mode-D optical registration test.,D_sensing_readiness,Validation gate cannot be evaluated without this hardware,NO,Fiducials for cooldown registration
B123,Mode-B pulse-energy calibration artifact,Validation artifact,Provide a repeatable test target for calibrating Mode-B pulse energy and thermal response.,B,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Pulse-energy calibration and post-exposure inspection.,B_process_heat; thermal_recovery,Validation gate cannot be evaluated without this hardware,NO,Sacrificial coupon for pulse-energy calibration
B124,Mode-C recovery witness sensor package,Validation artifact,"Track vacuum, thermal, optical, and contamination recovery between Mode B and Mode D.",C,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,C-to-D transition acceptance log.,C_to_D_mode_transition_readiness,Validation gate cannot be evaluated without this hardware,NO,Multi-sensor package for Mode-C recovery validation
B125,Mode-D NV baseline witness protocol hardware,Validation artifact,Verify ODMR/PL/T2* baseline before declaring Mode-D readiness.,D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,NV baseline recovery after Mode B and Mode C.,NV_baseline_recovery_after_Mode_B; D_sensing_readiness,Validation gate cannot be evaluated without this hardware,NO,Protocol-driven baseline measurement hardware
B126,Dirty/clean shutter witness plate set,Contamination validation,Detect cross-contamination between process-side and sensing-side shutter regions.,B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Surface analysis before/after Mode-B exposure and Mode-C recovery.,dirty_clean_shutter_cross_contamination,Validation gate cannot be evaluated without this hardware,NO,Witness plates retrieved for surface analysis
B127,Sacrificial cryopanel witness plate set,Contamination validation,Capture residual species between Mode B and Mode D for contamination analysis.,C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Cryopanel deposition/contamination assay and regeneration log.,residual_gas; dirty_clean_line_isolation,Validation gate cannot be evaluated without this hardware,NO,Sacrificial; retrieved for assay
B128,Gas-line cross-contamination witness port,Gas validation,"Provide sampling/diagnostic access for testing precursor, purge, and helium-line separation.",B/C/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,RGA or sample analysis showing no unacceptable cross-contamination.,dirty_clean_line_isolation; helium_purity,Validation gate cannot be evaluated without this hardware,NO,Sampling port; not always open during process
B129,Optical scatter witness plates / cold-stage witness targets,Optical validation,Capture and quantify optical scatter or deposition on protected cold-stage surfaces.,B/D,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,"Pre/post optical inspection, surface analysis, and scatter map.",optical_scatter; radiation_load_into_10mK_stage,Validation gate cannot be evaluated without this hardware,NO,Witness plates at cold-stage scatter risk points
B130,Mode-transition event logger / interlock state recorder,Controls / validation logging,"Record shutter states, laser interlock state, gas valve state, pressure, temperature, and sensing readiness during transitions.",ALL,DESIGN_SPECIFIED,forecast,TBD,TBD,1,TBD,TBD,,TBD,,,,Time-synchronized mode-transition logs for B->C->D.,B_D_exclusion; C_to_D_mode_transition_readiness; D_readiness,Validation gate cannot be evaluated without this hardware,NO,Time-synchronized acquisition for all mode-transition signals
B131,Dilution refrigerator vendor option matrix,Cryogenic platform,"Compare candidate cryostat classes by base temperature, cooling power, optical access, wiring capacity, sample space, vibration isolation, and integration constraints.",ALL,DESIGN_SPECIFIED,forecast,Oxford / Bluefors / equivalent,vendor option matrix,1,TBD,TBD,,TBD,,,,Vendor quote/spec review and acceptance test after real installation.,base_temperature; cooling_power; integration_feasibility,Validation gate cannot be evaluated without this hardware,NO,Candidate classes: Oxford Triton/TritonXL/Proteox; Bluefors LD/XLD; or equivalent. No vendor selected.
