fix_id,name,priority,status,gates,gate_delta,description,new_failure_modes
F01,UHV All-Metal Build,REQUIRED,NOT_INSTALLED,B4;B7,CONDITIONAL: enables 250°C/450°C bake; P_H2 achievable in principle; not yet built,"CF flanges, Cu gaskets, all-metal valves, bake-compatible feedthroughs (<1e-11 Pa.m3/s/m2). Viton O-rings limited bake to 120°C; CF enables 250-450°C. Ref: Jousten Handbook of Vacuum Technology (2016), outgassing rates Table 9.3.",CF flange leaks if torqued incorrectly; retorque after each bake; check with He leak detector.
F02,Differentially Pumped Micro-Nozzle,REQUIRED,NOT_INSTALLED,B5,"CONDITIONAL: reduces P_CH4 at sensing zone but does NOT eliminate need for staged purge. Capillary (0.5mm ID, 100mm): C_mol=1.61e-7 m3/s. P_CH4_sensing = P_nozzle * C_cap/S_pump_local = 1.6e-9 Pa — still 300x above 5e-12 Pa target. Conclusion: nozzle reduces gas load but staged purge after growth remains mandatory.",0.5mm capillary aimed at growth zone; conductance-limited to sensing zone; local 10L/s ion pump. Labyrinth baffle between growth zone and NV region.,Nozzle clogging from carbon deposition; backstreaming if ion pump fails; cryo-condensation in capillary.
F03,Three-Shutter Stack,REQUIRED,NOT_INSTALLED,B5;A3,"CONDITIONAL: radiation shielding improved (ε_eff=0.0068 vs single ε=0.02). Does NOT fix B5 gas contamination (CH4 exposure is chemical, not radiative). B5 requires geometric baffle blocking CH4 gas path to NV surface. Each shutter has position sensor; sensing cannot begin if any shutter not confirmed closed.","Three 4K OFHC Cu shutters: growth shutter (between LCVD zone and 4K plate), purge shutter (between gas manifold and sensing zone), sensing shutter (over objective). Each independently actuated via G10CR flex drive from 300K.",Motor vibration on actuation (100s settling each); flex drive thermal short (intercept at 4K); debris from shutter mechanism onto optical path.
F04,Witness Coupons,REQUIRED,NOT_INSTALLED,B5;D11;D12_G23,CONDITIONAL: witness coupons add experimental evidence but do not constitute gate-passing measurements. Required before claiming surface cleanliness or He-3 coverage.,"Two coupons adjacent to diamond: (1) growth-zone coupon (exposed to LCVD plume — worst case); (2) shielded sensing-zone coupon (behind shutter — best case). Characterise by XPS (elemental), Raman (sp2/sp3 carbon), AFM (roughness), SIMS (H depth profile) after each Mode A/B/C cycle. Accept Mode D only if sensing-zone coupon passes cleanliness criteria.",Coupons must be compatible with cryogenic cycling; mounting must not shadow NV. Transfer to ex-situ characterisation breaks vacuum — accept only if in-situ RGA also passes.
F05,RGA All-Species Acceptance Thresholds,REQUIRED,NOT_INSTALLED,B3;B4,"UNKNOWN->CONDITIONAL once RGA + bakeout performed. All-species thresholds (conservative, based on contamination fraction < 0.1% per species per t_meas=1e4s):","H2<2e-12Pa, CH4<5e-12Pa, H2O<1e-11Pa, CO<5e-12Pa, CO2<1e-11Pa, N2/O2<1e-11Pa, CxHy<5e-12Pa. RGA must scan full 1-200 amu range; detection limit < 5e-14 Pa partial pressure (Inficon spec). Mode D hard-interlocked on ALL thresholds passing, not only CH4/H2.","RGA filament outgasses on first use; bake RGA head separately. Ion gauge and RGA measure at pump port, not at sample — may underestimate local pressure."
F06,Pump Train: NEG + Ion + Cryo,REQUIRED,NOT_INSTALLED,B1;B2,CONDITIONAL: full pump train accelerates Mode B but does not eliminate bakeout requirement.,"77K charcoal cryotrap (50g, OFHC Cu): ~100 L/s for CH4 (P_vap(CH4,77K)<1e-8 Pa). 4K cryotrap (Cu cold plate, 200cm2): ~1000 L/s for H2O, CO2, organics. SAES St707 NEG (200g): ~5 L/s for H2, CO, N2 (activated at 400°C/1h). Ion pump (Gamma Vacuum 10L/s): noble gases, CH4, non-NEG-pumpable species. Regeneration: warm charcoal to 300K with IVC valve closed; vent to exhaust; allow 24h outgassing before re-cooling. All-metal valve required between trap and IVC.",NEG saturation after ~100 cycles (replace; ASSUMED 100-cycle lifetime); ion pump vibration (mount on vibration-isolated stand); charcoal gas burst on regeneration (hard interlock IL-12 required).
F07,Residual Hydrogen Mitigation,REQUIRED,NOT_INSTALLED,B4,CONDITIONAL: post-bake P_H2 achievable in principle; not executed.,"250°C/48h bakeout (CF system): P_H2 drops from ~1e-10 to ~5e-12 Pa (CERN Outgassing Handbook 2020). UV/ozone cleaning of internal surfaces BEFORE assembly (not after — may damage NV termination). Hot-filament cleaning: NOT recommended near diamond/NV region (H radical generation). NEG activation protocol: 400°C/1h in separate oven, then install. Post-bake RGA verification required (Gate B3/F05). Ref: P_H2 limits from Benvenuti & Calder 1999 Vacuum 53:267.",Bake may desorb contaminants from warm surfaces onto NV crystal if crystal warms; keep NV at 4K during bake using SC switch open + 4K heat path maintained.
F08,Surface Re-Termination / Recovery Protocol,REQUIRED,NOT_INSTALLED,D11;D12_G23,CONDITIONAL: new gate required. F-termination cannot be assumed to survive LCVD chemistry.,"After each Mode A/B/C cycle, before Mode D: verify surface termination by XPS. F-termination: XeF2 gas at 100°C, 5 min; XPS confirms F 1s peak at 686 eV (Ostrovskaya 2003 Diamond Rel. Mat.). O-termination (alternative): O2 plasma 30W, 5 min; O 1s peak at 531 eV. H from CH4 decomposition during LCVD may convert F-termination to H-termination: surface conductivity changes, NV charge state changes, E_b for He changes. Do NOT proceed to Mode D without XPS-confirmed termination.",XPS requires sample transfer to ex-situ tool if not in-situ; in-situ XPS requires additional port. XeF2 is toxic; requires secondary containment and scrubber.
F09,Geometric Baffle / Labyrinth Between LCVD Zone and NV Region,REQUIRED,NOT_INSTALLED,B5,CONDITIONAL: geometric shielding reduces direct CH4 line-of-sight to NV surface. Does not eliminate need for timed purge; reduces steady-state CH4 exposure during growth.,Labyrinth: 3 baffled right-angle turns between LCVD plume and NV region. Material: OFHC Cu at 4K; thermally anchored to 4K plate. Each baffle reduces direct-path molecular flux by ~10x (geometric factor). 3-stage labyrinth: ~1000x reduction in direct-path CH4 flux to NV zone. CH4 still reaches NV by diffusion (time constant = V_labyrinth / C_baffle); estimates suggest 100-1000x longer time before NV coverage reaches 0.1%.,Labyrinth restricts optical access; requires aligned bore for laser and collection path. Carbon deposition on baffle walls over multiple growth cycles.
F10,Cryo-QCM at Sensing Surface,RECOMMENDED,NOT_INSTALLED,B5;D11,"CONDITIONAL: QCM provides real-time adsorption measurement, replacing model estimates for B5/D11.",AT-cut 5 MHz quartz crystal adjacent to diamond in sensing zone. Sauerbrey sensitivity: 5.66e5 Hz/(g/m2) = 0.057 Hz/(ng/cm2). He-3 monolayer (1.65 ng/cm2) shifts frequency by approx 0.09 Hz. CH4 monolayer (est.) shifts by approx 0.15 Hz. Both exceed 1 mHz noise floor [DESIGN_SPECIFIED]. Cryogenic operation at 10mK: frequency stability improves at low T (athermal point). Ref: White & Coltice 2014 Cryogenics 64:1 for cryo-QCM performance.,QCM crystal must be thermally anchored to 4K (not 10mK — thermal mass would slow recooling); electrical feedthrough adds heat load; QCM near NV may create local charge noise.
F11,Thermal-Switch Validation Hardware,REQUIRED,NOT_INSTALLED,D4;D5;C1,CONDITIONAL->may pass once step-response performed. G_eff=1e-5W/K is the critical assumed parameter.,"Hardware: NiCr heater resistor on sample node (1nW to 1µW range); RuO2 thermometer pair (one on sample, one on MC plate, resolution < 1 µK). Step-response protocol: apply P_heat=1nW; measure ΔT_ss; extract G_eff=P/ΔT_ss. ΔT expected: 1nW/1e-5=100µK (measurable with good RuO2). SC switch open/closed test: measure G_sw in both states; verify G_sw_closed~1e-5, G_sw_open~1e-8 W/K. τ_therm = C_diam/G_eff ~ 3ps; measurement is quasi-DC (measure ΔT_ss, not transient).",10mT coil field for switch testing may shift NV ODMR by ~880 MHz; must shield or characterise ODMR shift separately. RuO2 thermometer requires calibration against NIST-traceable reference.
F12,Vibration Metrology,REQUIRED,NOT_INSTALLED,C2;D17,CONDITIONAL: Oxford Triton spec (S_a=1e-10 m2/s4/Hz) is the current assumption; not measured here.,"Instruments: accelerometer on mixing-chamber plate (e.g. Endevco 7703A-50 or similar cryogenic unit); laser interferometer on sample stage for direct displacement measurement. Measure PSD before and after shutter actuation; confirm settling time < 100s. Requirement: S_a < 1e-10 m2/s4/Hz (Oxford Triton spec assumed — must verify for this lab). Magnetic noise from vibration: with Helmholtz coil (dB/dz~0 at center), Γ_vib_mag = γ_NV × d²B/dz² × δr²/2 = 0.001 rad/s << δΓ=260 rad/s (PASS if Helmholtz confirmed). Gradient coil (1T/m) would give Γ_vib_mag=8857 rad/s >> δΓ (FAIL).",Accelerometer adds heat load and vibration from its cable at cryogenic T; interferometer requires optical access to 10mK stage.
F13,Optical Scatter Audit,REQUIRED,NOT_INSTALLED,A2,CONDITIONAL until measured. A2 inequality satisfied under assumption of 1e-4 scatter fraction; not a PASS. Measurement required before A2 can become PASS.,"Instruments: calibrated photodiode at 4K stage (behind shutter) measuring residual 532nm scatter. Beam dump: blackened Cu cone at 4K (ε>0.99 at 532nm), area > 10× beam cross-section. Measure: P_scatter/P_LCVD during Mode B; confirm < 1e-4 fraction reaching 4K stage. Absorbers: carbon-loaded epoxy (Stycast 2850 with carbon black) on all interior cold surfaces in beam path. NOT on NV optical path — absorber on sensing region would block fluorescence.",Scatter fraction varies with surface morphology after each LCVD cycle (carbon deposits change reflectivity); must re-measure A2 after N growth cycles.
F14,Microwave Heat Audit,REQUIRED,NOT_INSTALLED,D16,CONDITIONAL until measured. Status may become PASS only after NbN SC is verified at 10 mK AND attenuator heat loads are measured.,"NbN CPW: T_c(NbN)~16K >> 10mK; Meissner screening confirmed by R=0 measurement at 10mK. Attenuator chain: 20dB at 4K (dissipates 99% at 4K, not mK), 3dB at 1K, 0dB at MC. Measure attenuator dissipation: P_att = P_in × (1-10^(-att/10)); verify heat anchor. CPW termination (50Ω at MC): P_term=1nW at 50Ω with I=6.3µA — anchored at MC plate. ΔT_mw = P_term/G_eff = 100µK = 1%T_s — borderline; verify with heater step-response.",NbN vortex flux flow at residual fields > B_c1 (mT range); ensure µ-metal shield keeps B < 1mT at CPW. SMA connectors at 10mK: verify Cu conductor (not Cu-Be spring) does not add heat load.
F15,NV Survival / Charge-State Pretest After Full Mode A/B/C Cycle,REQUIRED,NOT_INSTALLED,D12_G23,"UNKNOWN->CONDITIONAL: ODMR after first LCVD+purge cycle confirms whether NV survives. Must run AFTER at least one complete Mode A/B/C cycle, not just at base temperature on virgin sample. Baseline ODMR (before any LCVD) vs post-cycle ODMR: quantifies surface damage. Accept criteria: C_contr > 0.05, T2* > 2µs (any value > threshold acceptable). If T2* degrades after LCVD: re-termination required (F08).",ODMR after each LCVD cycle: ~30min overhead per cycle; plan into schedule.,Additional experiment vs existing list (existing list only tests virgin diamond). LCVD carbon deposition changes local dielectric environment even if NV not directly hit. H from CH4 decomposition may convert surface termination and alter NV charge state.
F16,He-4 Control Experiment Before He-3,REQUIRED,DESIGN,D13,"CONDITIONAL: He-4 control is in experiment list but not executed. If He-4 at same pressure/coverage shows same T2* reduction as He-3, the signal is NOT nuclear-spin-specific (it is phonon, charge, or mechanical noise). In that case Gate D13 fails regardless of τ_c. Required: T2*(He-4) ≈ T2*(vacuum) ± noise — confirming He-4 is inert control.","Same dosing conditions as He-3 but with isotopically pure He-4 (I=0, no nuclear spin). If T2*(He-4) ≠ T2*(vacuum): non-spin coupling present (charge, phonon, van der Waals). Must run He-4 BEFORE He-3 to establish isotope-specificity of any signal.",He-4 at 10mK also freezes on surface (E_b similar to He-3); must pump out between runs. He-4 may displace He-3 if both used in same run — run independently.
F17,Multiple NV Depths — Ensemble Branch,RECOMMENDED,DESIGN,D13,"CONDITIONAL: single-depth strategy risks failure if τ_c falls near threshold. Three samples cover different regimes: d=5nm: τ_c_min=17.2µs (REALISTIC with T2*=2µs, C=0.05); viable if τ_c>17µs. d=10nm: τ_c_min=27.5µs (REALISTIC with T2*=10µs, C=0.10); canonical. d=20nm: τ_c_min=58.6µs (REALISTIC with T2*=50µs, C=0.15); requires FL τ_c. Note: shallower NV has WORSE T2*/C_contr (anti-correlated); net gain from d=5nm is ~2x, not 16x. Ensemble NV: averages over depth distribution; reduces SNR but provides redundancy.",Multiple samples require multiple cool-down cycles (each sample preparation ~1 working day). d=5nm NV: charge instability is severe risk; surface noise may quench sensing entirely.,Multiple samples require multiple cool-down cycles; each preparation ~1 working day.
F18,SIL / Waveguide Collection Upgrade — Engineering Branch,RECOMMENDED,DESIGN,D14;D13,"CONDITIONAL: SIL is a branch decision, not an optional enhancement. Trigger: if D14 (η_col<2%) or D13 fails due to insufficient N_ph. Diamond hemisphere SIL: η_col → 30% (Robledo 2011 Nature Physics), τ_c threshold → 12.7µs. Diamond nanophotonic waveguide: η_col → 45% (Li 2015 Nano Letters), τ_c threshold → 10.4µs. SIL or waveguide is REQUIRED if τ_c ∈ [10, 28]µs — the marginal range where free-space fails. Branch decision matrix: (1) If τ_c > 28µs: free-space collection sufficient, SIL optional. (2) If τ_c ∈ [10, 28]µs: install SIL, re-run Mode D. (3) If τ_c < 10µs: SIL insufficient; switch to d=5nm sample (F17).",Diamond SIL must survive LCVD thermal cycling (diamond-to-diamond bond: durable). SIL repositioning after each LCVD cycle if sample stage is fixed: mount SIL permanently.,Diamond SIL adds ~1mm to collection path; verify NA is not reduced by SIL geometry.
F19,Magnetic Shielding Package,REQUIRED,DESIGN,D17,"CONDITIONAL: Helmholtz coil geometry required (gradient coil FAILS Gate D17). Shielding layers: (1) SC Pb or Nb cylinder around sample stage (T<T_c, expels DC fields); (2) Cryoperm-10 (µ_r~70000) outer shield at 77K for AC fields; (3) µ-metal outer shield at 300K for low-frequency noise. SC shield around Al heat-switch coil: isolates 10mT switching field from NV position. Field verification: Hall probe or NV ODMR frequency shift measurement of B at NV position; confirm |dB/dz| < 1mT/cm at NV (required for Gate D17 PASS).",SC shield traps flux on cooling through T_c; must zero-field cool through T_c(Pb)=7.2K. Cryoperm at 77K adds heat load via eddy currents from pulse-tube vibration; use laminated Cryoperm to reduce eddy losses.,Zero-field cooling protocol: ramp B to 0 before cooling through T_c(Pb)=7.2K.
F20,Failure Recovery Path and Verdict Reclassification,REQUIRED,DESIGN,ALL,"Not a gate fix — a framework reclassification. If critical gates fail, the outcome is not 'experiment failed'; it is reclassified to identify what DID succeed.","Reclassification tree: (1) If Gate D12/G23 fails (C_contr=0): verdict = 'thermal platform works, NV charge state incompatible at 10mK'.     Recovery: switch to different termination (O vs F), shallower NV, different excitation wavelength (637nm),     or ODMR at elevated T (30-50mK) where charge mobility may restore NV-. (2) If Gate D13 fails (τ_c < threshold): verdict = 'thermal platform works, He-3 spin signal not detectable at d=10nm'.     Recovery: switch to SIL (F18) or d=5nm sample (F17).     If τ_c < 0.3µs even at d=5nm with SIL: verdict = 'fast-diffusion regime — detection irrecoverable without new geometry'. (3) If Gate B3 fails (CH4 not removable): verdict = 'LCVD chemistry incompatible with this vacuum protocol'.     Recovery: LCVD in separate chamber; transfer sample through load-lock. (4) If Mode A/B/C passes but Mode D fails only at He-3 step:     verdict = 'millikelvin cryostat + surface preparation validated; He-3 sensing not demonstrated'. This is a publishable result.",Reclassification must be planned before experiments begin to avoid confirmation bias. Pre-register go/no-go criteria for each mode before running.
FA,Protected NV Cartridge / Load-Lock,RECOMMENDED,NOT_INSTALLED,D12_G23;F08,CONDITIONAL: protects primary diamond during LCVD conditioning; no gate change until built.,Cartridge carousel; load-lock base <1e-9 Pa; coupon transfer under vacuum. LCVD conditioning on sacrificial coupon before inserting final diamond.,Load-lock leak on opening; coupon alignment in cryostat.
FB,All-Metal Bake-Compatible Valve Tree,REQUIRED,NOT_INSTALLED,B1;B2;F01,CONDITIONAL: enables full 250C bake; all interlocks physically enforced.,"CF: VAT all-metal angle valves for CH4, He-3, purge, RGA, NEG, ion pump, turbo, cryotrap. All normally-closed. Bake to 250C without Viton.",Wrong valve state under power loss — requires FN fail-safe.
FC,RGA Line-of-Sight Correction,REQUIRED,NOT_INSTALLED,B3;B4,"CONDITIONAL->CONDITIONAL: RGA measures at pump port; surface pressure ~100x higher. Corrected thresholds: CH4<5e-14 Pa, H2<2e-14 Pa at RGA (not 5e-12/2e-12).",Model P_surface=P_RGA*(S_pump/C_orifice). C_orifice~1e-4 m3/s (labyrinth). Harder to achieve without NEG+bakeout.,Overcorrection if model wrong; requires conductance measurement.
FD,Cold-Surface Memory / Desorption Accounting,REQUIRED,NOT_INSTALLED,B5;D10,CONDITIONAL: shutters/baffles adsorb CH4 during Mode B; desorb during Mode C thermal cycling. Currently unmodelled contamination source.,Heat shield surfaces >50K before closing sensing zone; cool in sequence warmest->coldest. Model adsorption capacity per surface and desorption rate.,Desorption timing uncertain; may require extended Mode B for surface equilibration.
FE,Shutter Contamination and Replacement,REQUIRED,NOT_INSTALLED,A3;B5,CONDITIONAL: shutters accumulate sp2 carbon and CH4 residue after N LCVD cycles.,Dual shutter (dirty primary + clean backup) or scheduled replacement after N_max cycles. Witness coupon on shutter face (F04).,Carbon buildup changes shutter emissivity over time; re-audits A3 scatter after cycles.
FF,Optical Window/Viewport Contamination Control,REQUIRED,NOT_INSTALLED,A2;D14,CONDITIONAL: carbon deposits on windows in LCVD line-of-sight; increases scatter and reduces collection.,Heated window option (>100K prevents condensation); or window recessed in cold tube. Replaceable window; replace every 10-20 growth cycles.,Window heating adds small thermal load; alignment changes after replacement.
FG,Gas Purity Chain,REQUIRED,DESIGN,B4;D10;F05,CONDITIONAL: bottle purity and line cleanliness set residual contamination floor.,CH4>=99.999% (5N); H2>=99.9999% (6N); He-3>=99.99% isotopically pure. SAES MicroTorr inline getters; VCR/CF fittings <1e-10 Pa.m3/s. Bottle-change: purge >=3 line volumes before reconnecting.,Getter exhaustion without indicator; bottle-change contamination if protocol not followed.
FH,Helium Leak Check Requirement,REQUIRED,NOT_INSTALLED,F01;ALL,CONDITIONAL: leak check is a prerequisite gate before any cooldown.,He leak check sensitivity <1e-11 Pa.m3/s. Repeat after bakeout. Acceptable: <1e-10 Pa.m3/s for P_H2<2e-12 Pa over t=1e4s.,Bake stresses welds; must re-check after every bake.
FI,Electrical Filtering Heat Budget,REQUIRED,NOT_INSTALLED,D3,CONDITIONAL: filter heat load must be included in P_total; currently only 2.46nW assumed for wiring.,"Thermocoax (100cm, 0.5mm): ~0.1nW/line. RC powder filters: I^2*R per line. Eccosorb at 4K: 20dB; dissipation at 4K only. Total must stay <P_cond_budget.",Powder filter clogging; Eccosorb cracking at thermal cycling.
FJ,Thermometer Self-Heating Audit,REQUIRED,NOT_INSTALLED,D4;F11,CONDITIONAL->CONDITIONAL: self-heating is negligible at correct excitation (<10nV).,RuO2 (10kOhm at 10mK): V=10nV => P=1e-23W (negligible). Risk: if excitation drifts to 1uV => P=1e-16W (still negligible vs 4.3nW). Verify excitation voltage calibration before each run.,AC excitation at wrong frequency couples into Ramsey sequence (use DC or lock-in with guard).
FK,Magnetic Field Compatibility Map,REQUIRED,DESIGN,D17;F19;F11,CONDITIONAL: five field sources must be compatible; SC switch field must be OFF during sensing.,"Sources: NV bias (1mT Helmholtz); SC switch (10mT, Mode A/B only); demag; CPW (1.585uT); shields. Interlock: switch field OFF during sensing (IL-04). Field map: verify |B_switch|<0.1mT at NV during sensing.",Residual flux trapped in SC shield on cooling; zero-field cool required through Tc(Pb)=7.2K.
FL,Eddy-Current Heating from Moving Shutters/Switches,REQUIRED,DESIGN,D3;F12,CONDITIONAL: eddy heating during actuation is small but must be verified.,Cu shutter in 1mT at 1s actuation: P_eddy~1e-12W (negligible). SC switch transition through 10mT in 1s: P_eddy~1e-9W (small addition to D3 budget). All metal motion >1s actuation; no actuation during Ramsey (IL-08).,Resonant eddy heating if actuation frequency matches mechanical resonance.
FM,Acoustic/Vibration Isolation for Pumps,REQUIRED,DESIGN,C2;D17,CONDITIONAL: turbo pump transmits 50Hz vibration; must be isolated or OFF during sensing.,Pneumatic isolators on pump stand; flexible bellows; remote pump >5m from fridge. Mode D: turbo OFF; ion pump + NEG + cryo-pumping only. Valve isolation before turbo stop.,Pump-off leaves only cryo-pumping for H2; RGA monitoring required to confirm pressure holds.
FN,Emergency Fail-Safe State,REQUIRED,DESIGN,ALL,CONDITIONAL->CONDITIONAL: fail-safe states prevent catastrophic contamination on power loss.,Power-loss defaults: LCVD shutter closed (NC); precursor valves closed (NC); He-3 valve closed (NC); radiation shutter closed (spring-return); SC switch open (B=0; Al stays SC). Must verify fail-safe states before first cooldown.,NC solenoids require continuous power to stay open; power budget at 300K.
FO,Acceptance Test Matrix,REQUIRED,DESIGN,ALL,CONDITIONAL until measured. Status may become PASS only after all 10 items are physically completed and verified.,Sequence: (1)He leak check; (2)bakeout+RGA; (3)shutter test; (4)switch step-response; (5)ODMR virgin; (6)Mode A+B+C cycle; (7)ODMR post-cycle; (8)He-4 control; (9)He-3 tau_c measurement; (10)3-cycle reproducibility. This converts simulation gate table into physical acceptance procedure.,Any failed item requires root-cause investigation before proceeding to next.
