interface_id,interface,subsystems,intended_function,mode,required_compatibility,warm_side_anchor,cold_side_anchor,intermediate_thermal_intercepts,mechanical_attachment,thermal_path,vibration_path,contamination_path,possible_mismatch,measurement_required,status,gate_impact,failure_consequence,can_PASS_now,notes
I001,LCVD laser ↔ diamond surface,Mode B optics / diamond,fs laser pulse → carbon deposition,A,fs pulse delivery without damage; fluence << damage threshold,TBD,TBD,TBD,TBD,TBD,TBD,TBD,eta_abs UNKNOWN; damage threshold INDIRECT (literature),Transmission/reflection + pump-probe,DESIGN_SPECIFIED,"D6,D7",Thermal overload or surface damage,NO,AOM CANNOT gate 100 fs pulses. Pockels cell required.
I002,NV readout laser ↔ NV layer,Mode D optics / NV,532 nm excitation → ODMR/Ramsey,D,C_contr>0 at 10 mK under actual laser power,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Charge-state instability under cryogenic laser irradiation. C_contr UNKNOWN at 10 mK.,ODMR at 10 mK; optical power sweep,DESIGN_SPECIFIED,"D12,D13",No NV signal; C_contr=0,NO,Room-T contrast does not predict 10 mK behavior
I003,Microwave CPW ↔ NV ensemble,MW delivery / NV,MW drive → Rabi oscillations for spin control,D,P_mw at CPW within thermal budget; Omega_R sufficient,TBD,TBD,TBD,TBD,TBD,TBD,TBD,P_mw ASSUMED; cable loss not measured at base. ΔT_mw marginal (100 vs 104 µK).,Directional coupler + Rabi calibration in cryostat,DESIGN_SPECIFIED,"D8,D15,D16",MW heating exceeds budget; Rabi undefined,NO,
I004,He-3 dosing line ↔ sample chamber,Gas delivery / chamber,Controlled He-3 dose → surface coverage,D,Isolated line; no CH4 cross-contamination; dose rate calibrated,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PMB not installed; dose calibration not done; line not fabricated,Install PMB; calibrate flux; RGA verify isolation,DESIGN_SPECIFIED,"D11,E07",He-3 dose unknown or contaminated,NO,
I005,3He sensing line isolation ↔ 4He reference line,Gas delivery,Isotope-specific line isolation,D,No dead volume shared; zero cross-contamination,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Lines not fabricated; isolation not verified,Install; leak test; RGA verify each line independently,DESIGN_SPECIFIED,D13,Isotope contrast invalid,NO,
I006,4He reference line ↔ sample chamber,Gas delivery / chamber,Controlled He-4 dose for isotope contrast,D,Clean He-4 delivery; no He-3 residual from prior dose,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Line not fabricated; purge protocol undefined,Install; test purge between isotopes,DESIGN_SPECIFIED,D13,No control experiment,NO,
I007,CH4/process line ↔ Mode B chamber,Gas delivery / Mode B,LCVD precursor delivery,A,Mode B only; complete isolation from sensing path,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Line not fabricated; backstreaming risk,Install check valves; IL-02 interlock; RGA post-Mode B,DESIGN_SPECIFIED,"D2,A4",Precursor contaminates Mode D,NO,
I008,Purge line ↔ sample chamber,Gas delivery / Mode B,Pump out CH4 after Mode B,C,Effective purge to P_CH4 < 5e-12 Pa before Mode C,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Purge efficiency undefined; pumpout time unknown,RGA post-purge; define time criterion,DESIGN_SPECIFIED,"B1,D2",CH4 residual in Mode D,NO,
I009,Pumpout/dump path ↔ chamber,Vacuum system,Emergency gas dump; controlled pump-down,B/C,Safe dump path for all process gases,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Path not specified,Define and install dump path,DESIGN_SPECIFIED,B1,Gas trapped in chamber,NO,
I010,Cryo-baffle/PMB ↔ sample line-of-sight,Helium dosing,Controlled He isotope exposure,D,Clear line-of-sight for PMB; shutter control; thermal isolation,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Not installed; thermal load from baffle unmeasured,Install; measure baffle T and thermal load to sample,DESIGN_SPECIFIED,"D11,E08",Dose uncontrolled; unexpected heat load,NO,
I011,QCM ↔ dose/coverage proxy,Diagnostics,Frequency shift → coverage estimate,B/D,QCM adjacent to sample; sub-0.1 Hz noise floor; drift separated from signal,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Not installed; noise floor UNVERIFIED under cryogenic conditions; placement uncertain,Install; measure cryogenic noise floor; calibrate vs known coverage,DESIGN_SPECIFIED,"B5,D11",Coverage inference unavailable or unreliable,NO,He-3 shift ≈0.09 Hz requires sub-0.1 Hz stability
I012,Ag sinter ↔ diamond/sample thermal node,Thermal interface,Heat conduction sample→MC via G_eff,D,G_eff >= 8.6e-6 W/K; good thermal contact over 45 cm2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Sinter not fabricated; G_eff ASSUMED; actual alpha_K and area uncertain,Fabricate; step-response thermometry,DESIGN_SPECIFIED,"D5,E05",T_sample exceeds budget,NO,
I013,Kevlar/G-10 support ↔ thermal intercepts,Support / thermal,Mechanical support with thermal isolation,ALL,Thermal interception at 4K/1K/100mK/10mK; heat load < budget,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Support not fabricated; heat load ASSUMED,Fabricate; step-response per stage,DESIGN_SPECIFIED,"D3,E06",Heat load exceeds budget,NO,Vespel SP-22 REJECTED. Kevlar/G-10CR committed.
I014,Vibration isolation ↔ sample stage,Mechanical,Attenuate pulse-tube vibration at sample,ALL,S_vib < 1e-8 m2/Hz at sample; eddy-current or bellows damping,TBD,TBD,TBD,TBD,TBD,TBD,TBD,S_vib MANUFACTURER_SPEC; not measured at NV position,Install accelerometer at cold stage; measure PSD,DESIGN_SPECIFIED,"D17,D18",Dephasing exceeds mode-local secondary load bound,NO,
I015,RGA ↔ residual gas verification,Vacuum diagnostics,Species-resolved pressure; FC correction,B,All-species scan; FC correction for sensing-surface geometry; sensitivity < 5e-12 Pa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT INSTALLED; FC correction factor unknown for this geometry,Install RGA; calibrate FC factor; perform all-species scan,NOT_INSTALLED,"B3,D2,E04","D10a,D10b, B3, D2 all gated on RGA",NO,FC correction critical: sensing-surface P ~100x gauge reading
I016,Interlock controller ↔ valves/lasers/MW,Control system,Hardware mode separation enforcement,ALL,Fail-safe; hardwired; IL-01 prevents LCVD+sensing overlap; IL-02 prevents CH4+He-3 concurrent opening,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT INSTALLED or tested; mode separation currently architectural only,Install; test each interlock independently; verify mode transitions,NOT_INSTALLED,"A4,A5,D1,D2",Mode overlap → thermal overload or contamination,NO,
I017,Bakeout/NEG/cryotrap ↔ H2 suppression,Vacuum system,H2 below threshold after implementation,B,P_H2 < 5e-12 Pa; theta_H2 < 0.1% after full implementation,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Bakeout NOT EXECUTED; NEG NOT INSTALLED; cryotrap NOT INSTALLED,Execute bakeout; install NEG + cryotrap; RGA verify,NOT_INSTALLED,"D10a,D10b,E01,E02,E03",D10a BLOCKED; theta_H2=0.32% (above limit),NO,
I018,Independent gas lines ↔ contamination isolation,Gas delivery,No cross-contamination between gas species,ALL,Zero shared dead volume; verified leak rate < 1e-10 Pa m3/s,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Lines not fabricated; leak rates unknown,Fabricate; leak test; RGA verify each independently,DESIGN_SPECIFIED,"D11,D2,A4",Cross-contamination between gas species,NO,
I019,Surface termination ↔ helium adsorption model,Diamond / He-3 physics,F-termination determines sticking and tau_c,D,XPS-verified >95% F coverage; correlated with tau_c measurement,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Termination specified but not verified; XPS not done; tau_c on F-diamond UNKNOWN,XPS + AFM post-termination; He-3 Ramsey to measure tau_c,DESIGN_SPECIFIED,"D11,D13",tau_c and n_s differ from assumption; model invalid,NO,
I020,Pockels cell/pulse picker ↔ fs pulse control,Mode B optics,Individual 100 fs pulse gating,A,Switching time < 1 ns; compatible with 1 MHz rep rate,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Not installed; AOM CANNOT gate fs pulses (mismatch),Install Pockels cell; test at operating rep rate,DESIGN_SPECIFIED,D7,Pulse energy uncontrolled,NO,AOM switching time incompatible with 100 fs pulses
I021,AOM ↔ fs pulse gating (MISMATCH),Mode B optics / AOM,REJECTED_DESIGN — AOM cannot gate 100 fs pulses,A,Switching time < 1 ns required,TBD,TBD,TBD,TBD,TBD,TBD,TBD,AOM switching ~100 ns CANNOT gate 100 fs pulses,Replace with Pockels cell (BOM B023),DESIGN_SPECIFIED (REJECTED element),D7,Pulse energy uncontrolled,NO,Replace with Pockels cell. Do not use AOM for fs pulse gating. [intended_function normalized from KNOWN MISMATCH]
I022,Thermal sensors ↔ sample temperature model,Diagnostics / thermal,Real-time T_sample measurement,ALL,RuO2 calibrated; reading agrees with step-response model,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Sensors not installed; calibration not done,Install RuO2; calibrate vs NIST-traceable standard,DESIGN_SPECIFIED,"D4,C3",T_sample monitoring unavailable; model unvalidated,NO,
I023,Heater ↔ step-response G_eff measurement,Diagnostics / thermal,Inject known power; measure ΔT_sample → G_eff,D,Known heater power; stable T_sample baseline; sensitive thermometry,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heater not installed; G_eff measurement protocol not defined,Install heater; define protocol; execute step-response,DESIGN_SPECIFIED,"D5,E05",G_eff remains ASSUMED,NO,
I024,Microwave attenuation chain ↔ heat load model,MW / thermal,Thermal noise and MW power attenuation,D,Each attenuator thermally anchored; total attenuation ≥40 dB from room T to 10 mK,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Chain not installed; attenuation and heat load ASSUMED,Install; measure attenuation; verify heat load at each stage,DESIGN_SPECIFIED,D16,MW heating from thermal noise; delivery power wrong,NO,
I025,Cryogenic wiring ↔ conductive heat load model,Electrical / thermal,DC + signal wiring with thermal anchor,ALL,Heat load < 10 nW total,TBD,TBD,TBD,TBD,TBD,TBD,TBD,P_cond=2.46 nW [ASSUMED]; actual wiring heat load not measured,Install all wiring; measure heat load via step-response,DESIGN_SPECIFIED,"D3,D4",Thermal budget exceeded,NO,
I026,LCVD process gases ↔ residual gas memory,Vacuum / Mode B,No CH4 memory effect after Mode B,B,P_CH4 < 5e-14 Pa (FC-corrected) after purge,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Memory effects duration unknown; purge efficiency unknown,RGA post-Mode B cycle; define purge time criterion,DESIGN_SPECIFIED,"D2,B1",CH4 contaminates Mode D,NO,
I027,Mode B ↔ Mode C transition,Mode control,Safe handoff from LCVD to purge,A→B,LCVD laser off; precursor valves closed; purge begins within defined time,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Transition protocol not defined; interlocks not installed,Define protocol; install interlocks; test transition,DESIGN_SPECIFIED,"D1,B1",CH4 residual in Mode D,NO,
I028,Mode B ↔ Mode C transition,Mode control,Safe handoff from purge to recooling,B→C,P_CH4 < threshold by RGA; heat switch command sent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,RGA not installed; transition criteria not defined,Install RGA; define RGA-based transition criterion,DESIGN_SPECIFIED,"C1,D2",Premature recooling with contamination,NO,
I029,Mode C ↔ Mode D transition,Mode control,Safe handoff from recooling to sensing,C→D,T_sample recovered to < 10.5 mK; residual gas stable; He-3 line ready,TBD,TBD,TBD,TBD,TBD,TBD,TBD,T_sample monitoring not installed; criteria not defined,Install sensors; define T + P stability criteria,DESIGN_SPECIFIED,"C3,D4",Sensing starts with drift artifact,NO,
I030,Mode D sensing ↔ helium isotope dose state,Mode D / gas,He-3 or He-4 dose controlled during sensing,D,Dose rate stable; isotope isolated; no CH4 residual,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PMB not installed; dose rate unknown; isolation unverified,Install PMB; calibrate; test isolation,DESIGN_SPECIFIED,"D11,D13",Dose unknown; contamination risk,NO,
I031,QCM thermal drift ↔ mass-loading inference,Diagnostics,Separate thermal drift from He-3 mass signal,D,Drift < 0.05 Hz/K; signal >> drift over dose time,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Drift rate under cryogenic conditions UNKNOWN,Cryogenic QCM drift test,DESIGN_SPECIFIED,"B5,D11",Cannot distinguish dose from thermal artifact,NO,
I032,PMB dose calibration ↔ surface coverage model,Helium dosing / model,Relate PMB parameters to surface coverage,D,Flux calibrated via pressure rise or QCM reference experiment,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PMB not installed; flux UNKNOWN; calibration not done,Install PMB; calibrate flux vs pressure,DESIGN_SPECIFIED,D11,Coverage model disconnected from reality,NO,
I033,Cryo-baffle thermal load ↔ sample heat budget,Thermal / dosing,Baffle radiation load bounded within Mode D budget,D,Baffle radiation < 1 nW at sample,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Baffle not installed; thermal load UNKNOWN,Install; measure baffle temperature and radiation to sample,DESIGN_SPECIFIED,D3,Thermal budget exceeded,NO,
I034,Surface characterization ↔ termination assumptions,Diamond / model,XPS/AFM results constrain adsorption model,D,XPS > 95% F coverage; AFM shows atomically flat surface; Raman confirms sp3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Characterization not done; termination assumed,XPS + AFM + Raman post-termination,DESIGN_SPECIFIED,"D11,D13",tau_c model invalid if surface differs from assumption,NO,
I035,Helium isotope purity verification ↔ contrast interpretation,Gas quality / NV physics,Verified purity enables unambiguous isotope contrast,D,He-3 >99.9%; He-4 >99.9%; RGA-verified before use,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Purity not verified; isotope contamination would dilute contrast,RGA or mass-spec of both cylinders before use,DESIGN_SPECIFIED,D13,ΔΓ diluted; nuclear spin hypothesis undermined,NO,
I036,Kevlar end clamps ↔ anchor blocks,Support architecture / thermal intercepts,Secure fiber; transmit tension; conduct heat to intercept,ALL,No slip after 10 thermal cycles; contact resistance < TBD,4K anchor block,10mK anchor block,"4K,1K,100mK,10mK",Crimped/epoxied to fiber; bolted to anchor block,Fiber → clamp body → anchor block → stage plate,Clamp stiffness couples fiber vibration,None,Differential thermal contraction pulls fiber through clamp (slip risk),Slip test at cryogenic T after 10 cycles,DESIGN_SPECIFIED,"D3,E06",Fiber slips → sample falls,NO,Kevlar clamp slip is a critical safety item. Design TBD.
I037,G-10CR flexure mounts ↔ sample-stage frame,Support architecture / sample stage,Attach flexures to frame and stage; lateral compliance,ALL,Attachment stable after 10 thermal cycles; stiffness per design,Warm frame connection,Cold stage connection,N/A,Bolded or adhesive-bonded,G-10CR conduction through mount,Mount transmits lateral vibration,None,Adhesive failure at cryogenic T; mount loosening from differential contraction,Torque-retention test after 10 cycles; alignment check,DESIGN_SPECIFIED,"D3,E06",Lateral drift; heat load increase,NO,G-10CR attachment stability UNKNOWN
I038,OFHC thermal intercept clamps ↔ staged thermal anchors,Support / thermal management,Thermalize Kevlar fiber at each stage,ALL,Contact resistance < TBD at each stage; heat load within budget,Each warmer stage plate,Each colder stage plate,"Staged (4K,1K,100mK,10mK)",Clamped around fiber; bolted to stage plate,OFHC Cu → stage plate → dilution refrigerator,Rigid clamp body,None,Contact resistance too high (no gold plating; dirty surface),Contact-resistance measurement per stage; step-response,DESIGN_SPECIFIED,"D3,E06",Interception fails; heat load bypasses stages,NO,Gold-plated contact faces [DESIGN_SPECIFIED]
I039,Gold-plated copper anchor blocks ↔ support network,Support / thermal management,Low-resistance thermal interface between fiber and stage,ALL,Contact resistance < TBD per block,Warmer intercept plate,Colder intercept plate,Staged,Bolted/clamped to intercept plate; gold-plated mating faces,OFHC Cu block → intercept plate,Rigid,None,Contact resistance too high; surface contamination on gold plate,Contact-resistance measurement,DESIGN_SPECIFIED,D3,Intercept conductance degraded,NO,[DESIGN_SPECIFIED]
I040,Sample-stage mounting plate ↔ diamond sample,Diamond / sample stage,"Provide rigid, thermally conductive platform for diamond",D,Good thermal contact; alignment within 10 µm,MC anchor interface (10mK),Diamond sample (10mK),N/A,Diamond bonded/clamped to plate; plate bolted to anchor,Plate → anchor interface → MC,Plate stiffness,None,Thermal gap between diamond and plate (poor bond); alignment drift,Thermal-contact test (step-response); alignment check after cooldown,DESIGN_SPECIFIED,"D4,D5",Diamond thermally decoupled; T_sample undefined,NO,Diamond-to-plate bond quality [DESIGN_SPECIFIED; UNKNOWN]
