metric,value
N,5000
A_forecast_threshold_satisfied_count,5000
A_forecast_threshold_satisfied_frac,1.0
B_forecast_threshold_satisfied_count,0
B_forecast_threshold_satisfied_frac,0.0
C_forecast_threshold_satisfied_count,5000
C_forecast_threshold_satisfied_frac,1.0
D_forecast_threshold_satisfied_count,1690
D_forecast_threshold_satisfied_frac,0.338
full_cycle_forecast_threshold_satisfied_count,0
full_cycle_forecast_threshold_satisfied_frac,0.0
best_SNR,260.6890982580665
note,"Post-bakeout MC (Mode D only). tau_c log-U[1ns,100ms]. d/T2*/C_contr independent — pass rate overestimated. C_contr@10mK and tau_c: EXPERIMENTAL VALIDATION REQUIRED. G_eff: ASSUMED from Kapitza model, not measured."
total_gates,63
PASS_count,0
CONDITIONAL_count,39
BLOCKED_count,21
UNKNOWN_count,2
DERIVED_CHECK_count,1
current_full_cycle_MC_pct,0.0
forecast_mode_D_pct,33.8
forecast_only,true
physically_demonstrated,false
tau_c_canonical_threshold_us,292
tau_c_superseded_v30_us,27.728
tau_c_superseded_v30_status,SUPERSEDED NOT_CANONICAL NOT_LIVE_GATE_LOGIC
Mode_A_LCVD_status,BLOCKED
Mode_A_vs_Mode_D_optics,SEPARATED — Mode A uses A-vector; Mode D uses D-vector
IL14_helium_exclusion_interlock,NOT_INSTALLED
LCVD_during_active_sensing,NOT_VIABLE NOT_CLAIMED
same_chamber_mode_switched,PROPOSED not_demonstrated
global_verdict,CONDITIONALLY DEFINED. BLOCKED. Physical feasibility is not established.
